timestamp,open,high,low,close,volume
2025-06-26 13:30:00,545.33,545.53,545.32,545.41,209227
2025-06-26 13:35:00,545.4,545.55,545.38,545.525,174932
2025-06-26 13:40:00,545.52,545.69,545.43,545.535,248999
2025-06-26 13:45:00,545.54,545.58,545.37,545.385,139364
2025-06-26 13:50:00,545.395,545.525,545.36,545.38,150377
2025-06-26 13:55:00,545.385,545.575,545.35,545.42,189990
2025-06-26 14:00:00,545.43,545.62,545.3,545.57,167028
2025-06-26 14:05:00,545.57,546.12,545.55,545.96,565034
2025-06-26 14:10:00,545.96,546.33,545.84,546.24,258518
2025-06-26 14:15:00,546.24,546.5,546.15,546.255,281747
2025-06-26 14:20:00,546.27,546.52,546.22,546.415,207154
2025-06-26 14:25:00,546.41,546.435,546.205,546.2246,253733
2025-06-26 14:30:00,546.23,546.455,546.23,546.38,163846
2025-06-26 14:35:00,546.39,546.415,546.061,546.095,164436
2025-06-26 14:40:00,546.115,546.16,546.01,546.15,111569
2025-06-26 14:45:00,546.155,546.29,545.7701,545.94,192691
2025-06-26 14:50:00,545.93,546.08,545.85,546.0099,136480
2025-06-26 14:55:00,546.01,546.1,545.82,546.05,275815
2025-06-26 15:00:00,546.055,546.2201,546.01,546.13,180033
2025-06-26 15:05:00,546.14,546.14,545.91,546.07,192927
2025-06-26 15:10:00,546.0649,546.17,545.875,545.875,210227
2025-06-26 15:15:00,545.9,546.11,545.75,546.11,295857
2025-06-26 15:20:00,546.1,546.31,546.03,546.27,258650
2025-06-26 15:25:00,546.2599,546.36,546.135,546.16,247505
2025-06-26 15:30:00,546.16,546.31,546.05,546.21,252551
2025-06-26 15:35:00,546.2,546.24,545.92,545.925,354063
2025-06-26 15:40:00,545.925,546.01,545.78,545.86,392314
2025-06-26 15:45:00,545.86,546.24,545.7307,546.19,401056
2025-06-26 15:50:00,546.19,546.67,545.88,546.37,966594
2025-06-26 15:55:00,546.36,546.53,545.88,546.21,1715855
2025-06-26 16:00:00,546.21,546.22,545.45,545.65,634196
2025-06-26 16:05:00,545.62,545.94,544.65,545.87,180070
2025-06-26 16:10:00,545.82,545.84,545.7,545.72,126903
2025-06-26 16:15:00,545.72,546.22,545.6008,545.93,398849
2025-06-26 16:20:00,545.94,546.21,545.9,546.15,233262
2025-06-26 16:25:00,546.1,546.2,546.0,546.04,89253
2025-06-26 16:30:00,546.03,546.25,545.98,546.24,103809
2025-06-26 16:35:00,546.23,546.29,546.2,546.29,17641
2025-06-26 16:40:00,546.27,546.29,546.19,546.23,92551
2025-06-26 16:45:00,546.23,546.29,546.21,546.2401,7421
2025-06-26 16:50:00,546.2109,546.26,546.2,546.25,13654
2025-06-26 16:55:00,546.16,546.22,546.07,546.18,18239
2025-06-26 17:00:00,546.22,546.3,546.14,546.25,43270
2025-06-26 17:05:00,546.26,546.28,546.2,546.2,3150
2025-06-26 17:10:00,546.25,546.28,546.25,546.27,800
2025-06-26 17:15:00,546.27,546.28,546.25,546.28,1030
2025-06-26 17:20:00,546.29,546.3,546.26,546.29,3507
2025-06-26 17:25:00,546.37,546.37,546.31,546.31,200
2025-06-26 17:30:00,546.48,546.8696,546.27,546.55,22632
2025-06-26 17:35:00,546.6,546.6,546.5,546.53,2731
2025-06-26 17:40:00,546.54,546.7,546.54,546.6,709
